Total_MET,Avg_METs,TotalDistance,DistancePerStep,TrackerDistance,StepsbyDistance,TotalActiveDistance,TotalSteps,ActiveRatio,AverageActiveMinutes,TotalActiveMinutes,DistanceIntensity,InactiveRatio,SedentaryMinutes,ActivityRank,SedentaryRatio,LightlyActiveMinutes,VeryActiveMinutes,LightActiveDistance,LightlyActiveRatio,AveragePace,ActiveGroup,VeryActiveRatio,VeryActiveDistance,FairlyActiveRatio,ActiveDistanceRatio,FairlyActiveMinutes,TotalUsageMinutes,ModeratelyActiveDistance,Calories
23638.0,16.415277777777778,8.11999988555908,0.0007694494348108671,8.11999988555908,1299.6305601885365,8.11000001430512,10553,0.20069444444444445,96.33333333333333,289,12.03000009059907,0.48333333333333334,696,9,0.7065989847715736,228,19,5.28999996185303,0.23147208121827412,1.685813125029567,3,0.019289340101522844,1.10000002384186,0.04263959390862944,0.998768488744471,42,985,1.72000002861023,3083
21690.0,15.0625,3.38000011444092,0.0006842105494819676,3.38000011444092,1461.5384120533133,3.379999995231628,4940,0.09583333333333334,46.0,138,8.489999949932097,0.9041666666666667,1302,12,0.9041666666666667,52,75,0.550000011920929,0.03611111111111111,1.4695652671482262,0,0.052083333333333336,2.27999997138977,0.007638888888888889,0.9999999647309799,11,1440,0.550000011920929,1897
14612.0,10.147222222222222,0.100000001490116,0.0006711409495980939,0.100000001490116,1489.999977797272,0.100000001490116,149,0.006944444444444444,3.3333333333333335,10,0.100000001490116,0.9930555555555556,1430,18,0.9930555555555556,10,0,0.100000001490116,0.006944444444444444,0.600000008940696,0,0.0,0.0,0.0,1.0,0,1440,0.0,2093
21854.0,15.176388888888889,7.13000011444092,0.0008108722977869805,7.13000011444092,1233.2398119027912,7.120000034570701,8793,0.20208333333333334,97.0,291,8.670000046491634,0.4979166666666667,717,9,0.7113095238095238,260,2,5.73000001907349,0.25793650793650796,1.4701031163795713,2,0.001984126984126984,0.159999996423721,0.028769841269841268,0.9985974642763379,29,1008,1.23000001907349,3061
26431.0,18.354861111111113,6.07999992370605,0.0007473878209841488,6.07999992370605,1337.9934378422374,6.079999804496769,8135,0.16805555555555557,80.66666666666667,242,13.659999608993536,0.5055555555555555,728,12,0.7505154639175258,140,86,2.09999990463257,0.14432989690721648,1.5074379976130703,2,0.088659793814433,3.59999990463257,0.016494845360824743,0.99999998039321,16,970,0.379999995231628,3405
22764.0,15.808333333333334,7.75,0.0007693071272582886,7.75,1299.8709677419354,7.750000178813936,10074,0.18194444444444444,87.33333333333333,262,10.760000109672553,0.6097222222222223,878,9,0.7701754385964912,234,19,6.03000020980835,0.20526315789473684,1.7748091603053437,3,0.016666666666666666,1.28999996185303,0.007894736842105263,1.000000023072766,9,1140,0.430000007152557,2969
30034.0,20.856944444444444,8.25,0.0007469443186962426,8.25,1338.7878787878788,8.239999920129774,11045,0.22013888888888888,105.66666666666667,317,17.429999887943257,0.4027777777777778,580,7,0.6465997770345596,212,97,3.5699999332428,0.23634336677814938,1.5615141955835963,3,0.10813823857302118,4.51999998092651,0.008918617614269788,0.9987878691066393,8,897,0.150000005960464,3795
28073.0,19.49513888888889,16.3099994659424,0.0008933070142371783,16.3099994659424,1119.4359655330034,16.229999331757398,18258,0.2076388888888889,99.66666666666667,299,36.719998415559445,0.7923611111111111,1141,4,0.7923611111111111,236,61,5.96999979019165,0.1638888888888889,3.2729095918279065,4,0.04236111111111111,10.2299995422363,0.001388888888888889,0.9950950253338724,2,1440,0.0299999993294477,3427
21308.0,14.797222222222222,6.36999988555908,0.0008104325554146413,6.36999988555908,1233.9089703625866,6.36999988555908,7860,0.18819444444444444,90.33333333333333,271,6.36999988555908,0.5361111111111111,772,16,0.7401725790987536,271,0,6.36999988555908,0.2598274209012464,1.4103320779835602,2,0.0,0.0,0.0,1.0,0,1043,0.0,2984
19118.0,13.276388888888889,3.24000000953674,0.0006825363407492606,3.24000000953674,1465.123452477623,3.23000001907349,4747,0.19444444444444445,93.33333333333333,280,3.23000001907349,0.8055555555555556,1160,13,0.8055555555555556,280,0,3.23000001907349,0.19444444444444445,0.6942857163293014,0,0.0,0.0,0.0,0.9969135831994396,0,1440,0.0,1788
26449.0,18.367361111111112,5.34999990463257,0.0006399521417024606,5.34999990463257,1562.6168502846267,5.34999983012676,8360,0.2777777777777778,133.33333333333334,400,5.909999832510945,0.44027777777777777,634,11,0.6131528046421664,380,6,4.92999982833862,0.36750483558994196,0.8024999856948855,2,0.005802707930367505,0.140000000596046,0.013539651837524178,0.99999998607368,14,1034,0.280000001192093,3101
23229.0,16.13125,6.96000003814697,0.0006706494544369792,6.96000003814697,1491.0919458504827,6.950000002980232,10378,0.2708333333333333,130.0,390,7.79000000655651,0.3402777777777778,490,9,0.5568181818181818,374,2,6.25,0.425,1.0707692366379953,3,0.0022727272727272726,0.140000000596046,0.015909090909090907,0.9985632133459873,14,880,0.560000002384186,2345
24936.0,17.316666666666666,10.1099996566772,0.000653016383973466,10.1099996566772,1531.355145969252,10.12000000476837,15482,0.24027777777777778,115.33333333333333,346,20.34000039100647,0.525,756,12,0.6860254083484574,249,69,4.17999982833862,0.22595281306715065,1.7531791312156995,4,0.06261343012704174,4.28000020980835,0.025408348457350273,1.000989154147455,28,1102,1.6599999666214,2284
26330.0,18.28472222222222,12.9099998474121,0.0007021264941215043,12.9099998474121,1424.244788328623,12.909999668598154,18387,0.27569444444444446,132.33333333333334,397,16.18999963998792,0.7243055555555555,1043,11,0.7243055555555555,361,13,10.5699996948242,0.25069444444444444,1.9511334781983025,4,0.009027777777777777,0.939999997615814,0.01597222222222222,0.9999999861491906,23,1440,1.39999997615814,2732
24027.0,16.685416666666665,7.57000017166138,0.0006610776501319867,7.57000017166138,1512.681603742535,7.569999992847437,11451,0.2604166666666667,125.0,375,10.050000011920922,0.7395833333333334,1065,10,0.7395833333333334,339,6,5.51999998092651,0.23541666666666666,1.2112000274658208,3,0.004166666666666667,0.430000007152557,0.020833333333333332,0.9999999763786079,30,1440,1.62000000476837,2223
23251.0,16.146527777777777,9.09000015258789,0.0006691203645629658,9.09000015258789,1494.4994248578091,9.089999854564667,13585,0.20555555555555555,98.66666666666667,296,15.68999963998794,0.4777777777777778,688,8,0.6991869918699187,171,9,3.17000007629395,0.17378048780487804,1.8425675984975454,4,0.009146341463414634,0.680000007152557,0.11788617886178862,0.9999999672141674,116,984,5.23999977111816,1633
14400.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1440,18,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,1980
24784.0,17.211111111111112,6.65000009536743,0.0007933667496262741,6.65000009536743,1260.4511097434613,6.649999797344204,8382,0.17708333333333334,85.0,255,9.849999785423268,0.5361111111111111,772,12,0.7517039922103214,171,71,4.71999979019165,0.1665043816942551,1.5647059047923364,2,0.0691333982473223,1.26999998092651,0.012658227848101266,0.999999955184478,13,1027,0.660000026226044,3721
19924.0,13.83611111111111,6.65999984741211,0.0007265190190260838,6.65999984741211,1376.4264579618632,6.659999787807465,9167,0.12916666666666668,62.0,186,9.229999780654907,0.8708333333333333,1254,13,0.8708333333333333,155,12,4.96999979019165,0.1076388888888889,2.1483870475522937,2,0.008333333333333333,0.879999995231628,0.013194444444444444,0.9999999910503533,19,1440,0.810000002384186,2799
17433.0,12.10625,1.63999998569489,0.0006396255794441848,1.63999998569489,1563.414647783426,1.63999998569489,2564,0.08055555555555556,38.666666666666664,116,1.63999998569489,0.5770833333333333,831,16,0.877507919746568,116,0,1.63999998569489,0.12249208025343189,0.8482758546697706,0,0.0,0.0,0.0,1.0,0,947,0.0,2044
26109.0,18.13125,9.39000034332275,0.0007018462025056245,9.39000034332275,1424.8135794280174,9.38999974727631,13379,0.26319444444444445,126.33333333333333,379,15.259999513626099,0.7368055555555556,1061,10,0.7368055555555556,297,35,5.6399998664856,0.20625,1.4865435899719395,4,0.024305555555555556,2.11999988555908,0.03263888888888889,0.9999999365232781,47,1440,1.62999999523163,2709
22529.0,15.645138888888889,5.98000001907349,0.0006750197560755717,5.98000001907349,1481.4381223651849,5.96999979019165,8859,0.2659722222222222,127.66666666666667,383,6.599999785423279,0.7340277777777777,1057,13,0.7340277777777777,371,2,5.46999979019165,0.25763888888888886,0.9368146243979357,2,0.001388888888888889,0.129999995231628,0.006944444444444444,0.9983277209281032,10,1440,0.370000004768372,1970
23250.0,16.145833333333332,4.80999994277954,0.0007932057953132487,4.80999994277954,1260.706875704413,4.810000225901607,6064,0.1451388888888889,69.66666666666667,209,6.2400002181530025,0.5569444444444445,802,12,0.7932739861523245,142,63,4.01000022888184,0.1404549950544016,1.3808612275922125,1,0.06231454005934718,0.629999995231628,0.003956478733926805,1.0000000588611373,4,1011,0.170000001788139,3491
23158.0,16.081944444444446,8.18000030517578,0.000726723552343264,8.18000030517578,1376.0390684677511,8.190000176429745,11256,0.23680555555555555,113.66666666666667,341,11.440000176429745,0.7631944444444444,1099,10,0.7631944444444444,278,5,5.30000019073486,0.19305555555555556,1.4392962413799024,3,0.003472222222222222,0.360000014305115,0.04027777777777778,1.001222478102799,58,1440,2.52999997138977,3300
23966.0,16.643055555555556,5.53999996185303,0.000678256606495229,5.53999996185303,1474.3682411990399,5.540000200271599,8168,0.25833333333333336,124.0,372,11.340000391006459,0.7416666666666667,1068,10,0.7416666666666667,326,46,2.64000010490417,0.2263888888888889,0.8935483809440371,2,0.03194444444444444,2.90000009536743,0.0,1.0000000430358431,0,1440,0.0,2096
14400.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1440,18,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,2063
20401.0,14.167361111111111,4.73000001907349,0.0006850108644566965,4.73000001907349,1459.8308609209157,4.69999980926514,6905,0.24722222222222223,118.66666666666667,356,4.69999980926514,0.7527777777777778,1084,15,0.7527777777777778,356,0,4.69999980926514,0.24722222222222223,0.7971910144505882,1,0.0,0.0,0.0,0.9936574609540433,0,1440,0.0,1908
14400.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1440,18,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,1496
15327.0,10.64375,0.920000016689301,0.0006938160005198348,0.920000016689301,1441.3043216800418,0.910000026226043,1326,0.01875,9.0,27,2.370000064373015,0.98125,1413,10,0.98125,17,10,0.180000007152557,0.011805555555555555,2.0444444815317797,0,0.006944444444444444,0.730000019073486,0.0,0.9891304453458123,0,1440,0.0,2195
16227.0,11.26875,1.45000004768372,0.0006937799271213972,1.45000004768372,1441.3792629446032,1.449999980628495,2090,0.05694444444444444,27.333333333333332,82,1.8299999758601235,0.9430555555555555,1358,10,0.9430555555555555,75,1,1.13999998569489,0.052083333333333336,1.0609756446466243,0,0.0006944444444444445,0.0700000002980232,0.004166666666666667,0.9999999537550188,6,1440,0.239999994635582,2324
25431.0,17.660416666666666,9.32999992370605,0.0007202408463568048,9.32999992370605,1388.4244486525602,9.319999605417248,12954,0.2326388888888889,111.66666666666667,335,18.59999924898147,0.7673611111111112,1105,10,0.7673611111111112,273,52,4.46999979019165,0.18958333333333333,1.6710447624548148,4,0.03611111111111111,4.42999982833862,0.006944444444444444,0.9989281545154794,10,1440,0.419999986886978,2638
