Total_MET,Avg_METs,TotalDistance,DistancePerStep,TrackerDistance,StepsbyDistance,TotalActiveDistance,TotalSteps,TotalActiveMinutes,ActiveRatio,AverageActiveMinutes,DistanceIntensity,InactiveRatio,SedentaryMinutes,ActivityRank,SedentaryRatio,LightlyActiveMinutes,LightActiveDistance,VeryActiveMinutes,LightlyActiveRatio,AveragePace,ActiveGroup,VeryActiveRatio,VeryActiveDistance,FairlyActiveRatio,ActiveDistanceRatio,FairlyActiveMinutes,TotalUsageMinutes,ModeratelyActiveDistance,Calories
20404.0,14.169444444444444,5.07999992370605,0.0006817876692666823,5.07999992370605,1466.7323054926774,5.05999994277954,7451,335,0.2326388888888889,111.66666666666667,5.05999994277954,0.7673611111111112,1105,13,0.7673611111111112,335,5.05999994277954,0,0.2326388888888889,0.9098507326040688,1,0.0,0.0,0.0,0.9960629958214804,0,1440,0.0,1908
20656.0,14.344444444444445,5.82000017166138,0.0007274090953207574,5.82000017166138,1374.7422274931018,5.820000052452082,8001,181,0.12569444444444444,60.333333333333336,11.279999971389763,0.8743055555555556,1259,10,0.8743055555555556,135,2.64000010490417,30,0.09375,1.9292818248601258,2,0.020833333333333332,2.27999997138977,0.011111111111111112,0.9999999795173035,16,1440,0.899999976158142,2902
14650.0,10.17361111111111,0.109999999403954,0.0007236842066049605,0.109999999403954,1381.818189305702,0.109999999403954,152,12,0.008333333333333333,4.0,0.109999999403954,0.9048611111111111,1303,16,0.990874524714829,12,0.109999999403954,0,0.009125475285171103,0.54999999701977,0,0.0,0.0,0.0,1.0,0,1315,0.0,2100
14400.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1440,18,1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,1496
19787.0,13.740972222222222,3.95000004768372,0.0006605351250307224,3.95000004768372,1513.9240323570812,3.95000004768372,5980,227,0.15763888888888888,75.66666666666667,3.95000004768372,0.5083333333333333,732,16,0.7632950990615224,227,3.95000004768372,0,0.23670490093847757,1.0440528760397498,1,0.0,0.0,0.0,1.0,0,959,0.0,1861
22681.0,15.750694444444445,6.92000007629395,0.000661251798976966,6.92000007629395,1512.2832203210896,6.919999785721304,10465,309,0.21458333333333332,103.0,8.47999974340201,0.5,720,12,0.6997084548104956,284,5.42999982833862,1,0.2759961127308066,1.3436893352027086,3,0.0009718172983479105,0.0700000002980232,0.023323615160349854,0.9999999580097337,24,1029,1.41999995708466,2133
20984.0,14.572222222222223,7.09000015258789,0.0007019802131275138,7.09000015258789,1424.5415772400856,7.090000212192528,10100,203,0.14097222222222222,67.66666666666667,13.940000414848317,0.8590277777777777,1237,10,0.8590277777777777,151,3.39000010490417,41,0.10486111111111111,2.0955665475629233,3,0.02847222222222222,3.15000009536743,0.007638888888888889,1.0000000084068599,11,1440,0.550000011920929,2177
16808.0,11.672222222222222,1.51999998092651,0.0006701939951175088,1.51999998092651,1492.105281881352,1.51999998092651,2268,114,0.07916666666666666,38.0,1.51999998092651,0.8465277777777778,1219,16,0.9144786196549137,114,1.51999998092651,0,0.08552138034508627,0.799999989961321,0,0.0,0.0,0.0,1.0,0,1333,0.0,1933
23484.0,16.308333333333334,9.19999980926514,0.0006949690141460297,9.19999980926514,1438.9130733098787,9.20000004768372,13238,289,0.20069444444444445,96.33333333333333,18.68000006675721,0.47708333333333336,687,12,0.7038934426229508,194,3.41000008583069,43,0.1987704918032787,1.910034562477192,4,0.04405737704918033,3.69000005722046,0.05327868852459016,1.0000000259150634,52,976,2.09999990463257,1650
22570.0,15.67361111111111,5.90999984741211,0.0006718962991600853,5.90999984741211,1488.3249115229032,5.920000120997431,8796,379,0.26319444444444445,126.33333333333333,7.070000126957896,0.7368055555555556,1061,10,0.7368055555555556,356,4.88000011444092,2,0.24722222222222223,0.9356200286140545,2,0.001388888888888889,0.109999999403954,0.014583333333333334,1.0016920937129465,21,1440,0.930000007152557,1982
18954.0,13.1625,5.82999992370605,0.0007565533251629964,5.82999992370605,1321.7838937983042,5.82000017166138,7706,251,0.17430555555555555,83.66666666666667,5.82000017166138,0.8256944444444444,1189,16,0.8256944444444444,251,5.82000017166138,0,0.17430555555555555,1.3936254797703704,2,0.0,0.0,0.0,0.9982847766422759,0,1440,0.0,2712
25082.0,17.418055555555554,8.89999961853027,0.0006325515009616397,8.89999961853027,1580.8989441646172,8.880000233650211,14070,319,0.22152777777777777,106.33333333333333,15.80000042915345,0.5951388888888889,857,9,0.7287414965986394,250,4.88000011444092,45,0.21258503401360543,1.673981119472778,4,0.03826530612244898,2.92000007629395,0.02040816326530612,0.9977528780070486,24,1176,1.08000004291534,1959
18291.0,12.702083333333333,3.03999996185303,0.000666374388832317,3.03999996185303,1500.6579135676159,3.039999961853023,4562,141,0.09791666666666667,47.0,5.889999866485586,0.9020833333333333,1299,10,0.9020833333333333,108,1.37000000476837,19,0.075,1.2936170050438425,0,0.013194444444444444,1.17999994754791,0.009722222222222222,0.9999999999999977,14,1440,0.490000009536743,1813
28210.0,19.59027777777778,12.0100002288818,0.0007928439549037365,12.0100002288818,1261.2822407423355,12.010000050067902,15148,298,0.20694444444444443,99.33333333333333,26.630000233650204,0.4701388888888889,677,7,0.6943589743589743,145,4.28999996185303,137,0.14871794871794872,2.4181208514527115,4,0.14051282051282052,6.90000009536743,0.01641025641025641,0.9999999851112493,16,975,0.819999992847443,4236
18416.0,12.78888888888889,2.59999990463257,0.0006913054784984233,2.59999990463257,1446.538514597177,2.59999990463257,3761,192,0.13333333333333333,64.0,2.59999990463257,0.7347222222222223,1058,16,0.8464,192,2.59999990463257,0,0.1536,0.8124999701976782,0,0.0,0.0,0.0,1.0,0,1250,0.0,2638
26388.0,18.325,13.6899995803833,0.000727147159950247,13.6899995803833,1375.2374417145797,13.679999887943259,18827,327,0.22708333333333333,109.0,32.95999944210051,0.7729166666666667,1113,10,0.7729166666666667,195,3.64000010490417,111,0.13541666666666666,2.5119265285106973,4,0.07708333333333334,9.23999977111816,0.014583333333333334,0.999269562253722,21,1440,0.800000011920929,3213
21060.5,14.696180555555555,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1440,18,1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,0
17881.0,12.417361111111111,3.64000010490417,0.0007599165145937725,3.64000010490417,1315.934028009075,3.55999994277954,4790,105,0.07291666666666667,35.0,3.55999994277954,0.9270833333333334,1335,10,0.9270833333333334,105,3.55999994277954,0,0.07291666666666667,2.08000005994524,0,0.0,0.0,0.0,0.9780219341156486,0,1440,0.0,2189
15742.0,10.931944444444444,2.6800000667572,0.0007813411273344606,2.6800000667572,1279.8507143883396,0.899999976158142,3430,65,0.04513888888888889,21.666666666666668,0.899999976158142,0.9548611111111112,1375,18,0.9548611111111112,65,0.899999976158142,0,0.04513888888888889,2.4738462154681846,0,0.0,0.0,0.0,0.3358208782610748,0,1440,0.0,2505
23321.0,16.195138888888888,8.06999969482422,0.0006692651928034682,8.06999969482422,1494.1760168508465,8.06999969482422,12058,344,0.2388888888888889,114.66666666666667,12.289999485015871,0.5027777777777778,724,8,0.6779026217228464,252,3.84999990463257,0,0.23595505617977527,1.40755808630655,3,0.0,0.0,0.08614232209737828,1.0,92,1068,4.21999979019165,1638
18069.0,12.547916666666667,1.96000003814697,0.0006705439747338248,1.96000003814697,1491.3265015869451,1.96000003814697,2923,180,0.125,60.0,1.96000003814697,0.6229166666666667,897,16,0.8328690807799443,180,1.96000003814697,0,0.1671309192200557,0.65333334604899,0,0.0,0.0,0.0,1.0,0,1077,0.0,2070
21769.0,15.11736111111111,6.96999979019165,0.0006692270561873884,6.96999979019165,1494.2611640614732,6.969999969005592,10415,274,0.19027777777777777,91.33333333333333,10.719999849796304,0.4166666666666667,600,12,0.6864988558352403,205,3.92000007629395,11,0.2345537757437071,1.5262773263193397,3,0.012585812356979404,0.699999988079071,0.06636155606407322,1.0000000256547987,58,874,2.34999990463257,1529
17402.0,12.084722222222222,3.23000001907349,0.0006493767629822054,3.23000001907349,1539.9380714018596,3.23000001907349,4974,151,0.10486111111111111,50.333333333333336,3.23000001907349,0.8951388888888889,1289,16,0.8951388888888889,151,3.23000001907349,0,0.10486111111111111,1.2834437161881418,0,0.0,0.0,0.0,1.0,0,1440,0.0,1446
18264.0,12.683333333333334,4.17000007629395,0.0007568058214689564,4.17000007629395,1321.3429014843,4.15999984741211,5510,227,0.15763888888888888,75.66666666666667,4.15999984741211,0.8423611111111111,1213,16,0.8423611111111111,227,4.15999984741211,0,0.15763888888888888,1.1022026633376079,1,0.0,0.0,0.0,0.9976018636213726,0,1440,0.0,2613
25026.0,17.379166666666666,11.8299999237061,0.0007799314295692313,11.8299999237061,1282.1639981252147,11.82000017166138,15168,371,0.25763888888888886,123.66666666666667,22.620000362396237,0.7423611111111111,1069,10,0.7423611111111111,258,4.92000007629395,46,0.17916666666666667,1.9132075348311752,4,0.03194444444444444,3.90000009536743,0.04652777777777778,0.9991547124168039,67,1440,3.0,3513
22564.0,15.669444444444444,7.86999988555908,0.0007803668701595518,7.86999988555908,1281.4485573888376,7.8599998056888545,10085,347,0.24097222222222223,115.66666666666667,9.439999788999552,0.7590277777777777,1093,10,0.7590277777777777,317,6.42999982833862,2,0.22013888888888888,1.3608068966384577,3,0.001388888888888889,0.150000005960464,0.019444444444444445,0.9987293418023327,28,1440,1.27999997138977,3164
24082.0,16.72361111111111,7.11999988555908,0.0007274956458116972,7.11999988555908,1374.5786737792203,7.100000232458119,9787,386,0.26805555555555555,128.66666666666666,9.010000228881841,0.7319444444444444,1054,13,0.7319444444444444,369,6.01000022888184,11,0.25625,1.1067357335065928,2,0.007638888888888889,0.819999992847443,0.004166666666666667,0.9971910599125816,6,1440,0.270000010728836,3328
24855.0,17.260416666666668,7.53999996185303,0.0006197090459318673,7.53999996185303,1613.6604856175409,7.53999996185303,12167,475,0.3298611111111111,158.33333333333334,7.53999996185303,0.3326388888888889,479,16,0.5020964360587002,475,7.53999996185303,0,0.4979035639412998,0.9524210478130143,3,0.0,0.0,0.0,1.0,0,954,0.0,1926
17294.0,12.009722222222223,1.76999998092651,0.0007266009773918349,1.76999998092651,1376.2712012713532,1.75999999046326,2436,125,0.08680555555555555,41.666666666666664,1.75999999046326,0.9131944444444444,1315,13,0.9131944444444444,125,1.75999999046326,0,0.08680555555555555,0.8495999908447247,0,0.0,0.0,0.0,0.9943502878129888,0,1440,0.0,2430
27252.0,18.925,10.3599996566772,0.0007926549086975669,10.3599996566772,1261.5830533909484,10.360000014305108,13070,293,0.20347222222222222,97.66666666666667,21.840000391006456,0.5118055555555555,737,7,0.7155339805825243,154,4.17999982833862,120,0.14951456310679612,2.121501636179631,4,0.11650485436893204,5.30000019073486,0.018446601941747572,1.0000000345200695,19,1030,0.879999995231628,4092
21081.0,14.639583333333333,5.96000003814697,0.0006688362740598103,5.96000003814697,1495.1342186183153,5.969999849796289,8911,233,0.16180555555555556,77.66666666666667,11.20999968051909,0.5076388888888889,731,9,0.758298755186722,188,3.05999994277954,33,0.1950207468879668,1.5347639583211081,2,0.03423236514522822,2.32999992370605,0.012448132780082987,1.001677820735791,12,964,0.579999983310699,1481
24443.0,16.974305555555556,3.98000001907349,0.0007474178439574628,3.98000001907349,1337.9396920806082,3.97000002861023,5325,251,0.17430555555555555,83.66666666666667,6.320000052452087,0.5270833333333333,759,12,0.7514851485148515,181,2.47000002861023,38,0.1792079207920792,0.9513944268701569,1,0.03762376237623762,0.850000023841858,0.031683168316831684,0.9974874395941365,32,1010,0.649999976158142,3088
19540.0,13.569444444444445,4.71999979019165,0.0007566527396908705,4.71999979019165,1321.6102282383179,4.71999979019165,6238,302,0.20972222222222223,100.66666666666667,4.71999979019165,0.7902777777777777,1138,16,0.7902777777777777,302,4.71999979019165,0,0.20972222222222223,0.9377483026870829,1,0.0,0.0,0.0,1.0,0,1440,0.0,2796
25216.0,17.511111111111113,9.97000026702881,0.0007692307898332544,9.97000026702881,1299.999965181801,9.970000147819515,12961,343,0.23819444444444443,114.33333333333333,12.830000162124627,0.7319444444444444,1054,9,0.7544738725841088,301,7.84000015258789,11,0.21546170365068004,1.7440233703257393,4,0.007874015748031496,0.730000019073486,0.02219040801717967,0.9999999880432004,31,1397,1.39999997615814,3288
